NAME,incidence,female,male,ageb,agec,agea,fageb,fagec,fagea,mageb,magec,magea,yra,yrb,yrc,yrd,yre
Kenya,932.0827771336016,5537.05370860616,4482.83614558006,2341.22834478735,7653.57754765734,25.083961741519,1135.07649821469,4382.30130789173,19.6759024997463,1206.15184657267,3271.27623976562,5.40805924177263,526.52116038484,557.974781469294,590.108388179432,618.300516498362,641.041075060028
Lesotho,132.43001841925613,689.786776066033,733.835921940969,307.007969703288,1115.65235613488,0.962372168835756,100.194006655085,589.089414808936,0.503354602012197,206.813963048202,526.562941325944,0.45901756682356,60.007050393586,60.6602396259309,61.790202957735,61.878706517822,60.1295738333976
Liberia,83.18958805115804,390.08736774689,504.200703803059,196.160355179599,696.842898059596,1.28481831075384,66.1718354357604,322.992495942499,0.923036368630376,129.988519743839,373.850402117097,0.361781942123462,42.8539382037866,44.6023699522916,47.0652228577055,49.4969540436942,51.5086834348502
Libya,648.1753620984233,2612.4310378333,4355.45410472475,1657.00963567911,5302.53824152811,8.33726535083115,561.076573121672,2046.56522539524,4.78923931639003,1095.93306255744,3255.97301613287,3.54802603444111,342.588175560443,354.388377869052,367.76651054856,378.493128268361,387.782344850204
Madagascar,336.82951345986004,1956.25281656568,1664.66445312782,959.869061541311,2648.04867895822,12.9995291939639,484.196094346855,1461.74779234945,10.3089298693705,475.672967194455,1186.30088660877,2.69059932459341,152.073717050034,159.595250919205,167.226054658054,174.967602032091,181.751282504013
Malawi,133.85622282769057,896.110202134863,542.844193262811,308.451868645042,1125.21744115294,5.28508559969369,163.61662835179,728.010946405791,4.48262737728179,144.835240293251,397.206494747148,0.802458222411894,61.84313469775,64.7029081961549,67.4078800697597,69.9774462080122,71.7612713365027
Mali,358.83359439167896,1002.15435189532,2855.30678781523,784.955860902798,3066.45931905433,6.04595975342064,198.643750657512,799.391689237721,4.11891200008665,586.312110245286,2267.06762981661,1.92704775333399,183.994418009085,190.729900688995,197.528074562304,202.959182104404,206.612660267317
Mauritania,110.81520174899798,636.499588551012,554.763830250716,201.177081316158,988.760423474488,1.32591401108205,87.260366560809,548.231781242872,1.00744074733042,113.916714755349,440.528642231616,0.318473263751631,57.9784151908958,61.044834666185,65.8781677394301,69.1843756046407,73.3352099969291
Mauritius,153.72474140163519,713.874378219294,938.666591848283,355.057075965127,1296.6470454999,0.836848602553836,113.750999829866,599.797491584326,0.32588680510309,241.306076135261,696.849553915571,0.510961797450746,76.7598769588988,80.8782569417149,86.3773733643105,85.6042832439892,91.5167851827079
Morocco,883.0748778147969,3517.34777569595,5975.70716081311,1627.99985877912,7857.20626268767,7.84881504227413,615.268145788363,2896.79391302862,5.2857168789705,1012.73171299076,4960.41234965905,2.56309816330362,493.452618204856,523.47869414841,550.350375728017,572.886452215085,590.526155247998
Mozambique,142.56947123320154,694.81200966301,837.809806093906,252.067881843355,1279.02087264065,1.53306127291481,80.6405646826472,613.262649621587,0.908795358776159,171.427317160708,665.758223019059,0.624265914138654,70.7479865999593,72.6660459712285,75.0134211985092,76.8808018402798,77.7783025947877
Namibia,38.53779327443572,167.337735107389,246.943542592795,100.577820071715,313.056399812554,0.647057815915353,28.8071591816309,138.166657989211,0.363917936547216,71.7706608900843,174.889741823342,0.283139879368137,17.8230833502382,18.6397701197542,19.3703285423999,19.9247046716135,20.1830396731591
Niger,189.76636026017232,967.165482563808,1072.82289023304,425.556650062304,1611.07372495955,3.35799777500087,166.529398217841,798.156968110321,2.47911623564621,259.027251844462,812.916756849228,0.878881539354656,106.553797021689,111.507812005091,116.743151270248,121.850455612897,126.372401385434
Nigeria,1390.691829106209,9567.82993948667,5382.10722340509,2840.06867093397,12071.1083754112,38.7601165465363,1623.48880005554,7908.97984549372,35.3612939374098,1216.57987087843,4162.12852991754,3.39882260912653,738.529435888252,771.149283986652,803.528753974471,834.782287440945,872.417208652159
Rwanda,269.87990438561434,1605.97292093062,1295.23605121474,685.746122930299,2206.15355433617,9.30929487888312,318.515300943228,1280.04694605835,7.41067392904143,367.230821987071,926.10660827782306,1.89862094984169,119.504013164485,126.548688723613,134.560031687507,143.135424928162,149.798167133894
Sao Tome and Principe,1.7653266525836608,8.70362602575954,10.2736354895148,3.68767562599652,15.2756667572638,0.0139191320140224,1.51037009375353,7.18807169124279,0.0051842407632171,2.17730553224298,8.08759506602105,0.0087348912508053,0.859081346191826,0.900983574484528,0.942191774031668,0.979017644207413,1.00762720530844
Senegal,340.17568265785286,1723.97154762874,1932.91704094318,704.87876579094,2947.01190905809,4.99791372289244,263.061547117383,1457.33877583208,3.57122467926856,441.817218673557,1489.673133226,1.42668904362388,186.089738227221,193.0860354833,206.831907300666,214.431402642863,220.19158149686
Seychelles,12.448041944696081,49.5926795037515,84.2237714017314,30.0050350614852,103.744919371658,0.0664964723396993,7.40057648658511,42.1694783932843,0.0226246238821138,22.6044585749001,61.5754409783737,0.0438718484575855,5.98589428923982,6.2723123387479,6.54550638368782,5.94077818746309,6.02882576220919
Sierra Leone,125.49148744450173,629.849042925301,719.184447103094,261.887222518493,1085.47292374002,1.67334376987701,95.0520326991029,533.604444020067,1.19256620613133,166.83518981939,551.868479719958,0.480777563745679,65.6006299071918,68.4351863626304,71.8000473036458,74.7301274625324,77.6577751912462
Somalia,176.1349371770898,897.11007739263,996.340497261085,546.369145572648,1341.61168882406,5.46974025701019,214.125268297094,679.426129323964,3.55867977157138,332.243877275553,662.185559500092,1.91106048543881,75.5808890038461,77.8467503811925,80.0881227560065,81.7929950287092,82.5313224158932
South Africa,4950.860019658859,25057.9120787623,28163.8331325704,11679.8577726895,41518.82919984,23.0582388032268,4014.1630896317,21030.9486273373,12.8003617933942,7665.69468305785,20487.8805725027,10.2578770098326,2328.88960919209,2382.176017821,2398.54594727084,2517.08341440848,2555.2503634228
South Sudan,194.5899835319031,859.706543875721,1232.13577909224,486.08817994246,1600.25147765272,5.50266537277955,191.986002322883,663.655157625617,4.06538392722084,294.102177619577,936.596320027101,1.43728144555871,80.6519328695087,83.3032923155141,86.0862050194229,88.6873133977777,90.6053732710923
Sudan,712.5056470811718,2961.23138080191,4698.20432532068,1864.9851647551,5776.19784666771,18.2526946997937,735.268336237646,2214.78111765212,11.1819269121478,1129.71682851745,3561.41672901559,7.07076778764598,382.995718730648,404.611466284476,425.76426691897,445.534056295596,462.660202769952
Togo,139.39477095019072,703.138701710093,795.355086004457,374.132468800129,1122.3237569578,2.03756195661794,127.168626173144,574.546792141035,1.42328339591459,246.963842626985,547.776964816769,0.614278560703352,80.7606106380274,85.2905017068819,90.0027019250917,94.6319379423083,99.2424626659448
Tunisia,623.8905469724074,2489.0427810532,4217.78059890018,1036.59537784622,5666.37273452995,3.85526757720653,340.006235063879,2146.75644377525,2.28010221406419,696.589142782341,3519.6162907547,1.57516536314234,319.667156711387,332.529174345799,345.720512041928,354.953699133477,366.995817987861
Uganda,918.9163600545144,4399.19575093326,5479.15511965277,2284.67075931119,7559.26896167313,34.4111496017097,794.268916283436,3579.6486552351,25.2781794147172,1490.40184302775,3979.62030643803,9.13297018699247,443.973149594361,465.854007417597,488.974887385081,514.705128763294,531.918531094732
Tanzania,1107.9505678909563,6229.94135073838,5680.5272540894,2531.90621154701,9346.41724025873,32.1451530220414,1110.66409117713,5094.7088904192,24.5683691420484,1421.24212036988,4251.70834983953,7.576783879993,508.122723198084,532.62846834535,559.844158191731,585.497292401797,605.87856029594
Zambia,369.20646518984734,1832.4537169393,2136.51578385156,1027.17681241168,2927.96813332349,13.824555055693,412.59352902613,1409.28625651355,10.5739313996187,614.583283385546,1518.68187680994,3.25062365607438,178.592190321245,188.329305317472,198.428850194983,207.411469007059,212.605467998137
Zimbabwe,1019.5855730946122,6430.74585324087,4529.79905752622,2646.17254393762,8291.78681585462,22.5855509748405,1329.47255600841,5084.45408395171,16.8192132807396,1316.6999879292,3207.33273190291,5.7663376941009,442.499039347929,461.912566620958,478.052629574137,488.851272081128,491.438682094829
