NAME,prevalence,female,male,ageb,agec,agea,fageb,fagec,fagea,mageb,magec,magea,yra,yrb,yrc,yrd,yre
Sierra Leone,98.10286540974462,481.930738841611,572.675064313143,290.214255695218,762.111264357212,2.28028310232581,108.636732223126,371.658681451683,1.63532516680212,181.577523472092,390.452582905528,0.644957935523694,52.3981663832519,54.7858899295071,57.6244880333089,60.148953839365,62.6786445751428
Somalia,147.51172992996257,734.760367271807,850.990729475291,570.451237045635,1007.98858860706,7.3112710944009,224.944477452469,505.030356856889,4.78553296244874,345.506759593166,502.958231750173,2.52573813195216,63.1483787467688,64.9644403545521,66.75640409824,68.1813709489409,68.9797640151302
South Africa,3904.615984712523,18785.7484132843,23188.8734223753,12277.4997164641,29665.2024075391,31.9197116564914,4237.38015422873,14530.4661881434,17.9020709121194,8040.11956223536,15134.7362193956,14.0176407443719,1817.58054385724,1861.11056040339,1879.95073357449,1975.56224525262,2011.99845293362
South Sudan,155.68303754549746,690.578235974045,983.014417640051,518.684328105103,1147.45455022564,7.45377528335855,210.695648557507,474.34767937885,5.53490803768862,307.988679547596,673.106870846785,1.91886724566994,66.0724344376435,68.0589344906212,70.3507316116743,72.7081294663735,74.5122025267416
Sudan,580.349226586902,2450.07192094499,3788.68226486421,2081.23982822356,4132.25903356872,25.2553240169181,836.510956848036,1597.81941482218,15.7415492747759,1244.72887137552,2534.43961874654,9.51377474214224,315.807234414372,334.24618785766,352.1023122784,369.095151713491,383.839150123604
Togo,115.14027971729966,561.195152724581,676.562854236391,411.986690944576,822.986135709234,2.78518030716239,145.299222058097,413.937502681799,1.95842798468455,266.687468886478,409.048633027435,0.826752322477839,66.9341631605008,70.6942411979489,74.5569192728246,78.3324409538711,82.0674079851149
Tunisia,487.81691880127084,1951.34839360727,3292.68348350639,1171.56277421625,4066.72128099962,5.74782189778873,403.634699585798,1544.18738848791,3.52630553356344,767.928074630454,2522.53389251171,2.22151636422529,251.458398413367,261.70992181525,272.213823102416,279.167584576985,288.346834768662
Uganda,740.6964844958511,3453.99072730758,4508.49648102282,2494.0255745651,5421.59173293087,46.8699008344246,903.143112999684,2516.22437577552,34.6232385323781,1590.88246156542,2905.36735715536,12.2466623020465,362.121914541445,380.314356332064,399.43335430424,421.648584868178,436.910905385439
Tanzania,884.7595786251568,4877.47391124347,4633.69155897697,2761.49285463901,6705.7195142404,43.9531013410241,1238.28082440587,3605.43290768219,33.7601791554091,1523.21203023315,3100.28660655821,10.192922185615,408.352727466277,428.413970811288,450.818231246097,472.625661907388,490.356864677626
Zambia,301.3428985746719,1487.29894310997,1752.13721656775,1118.22781135983,2102.42831851505,18.780029802842,466.280908607574,1006.586706848,14.4313276543955,651.946902752259,1095.84161166705,4.3487021484465,148.234358393885,156.462019004437,165.133020265244,172.992595400323,178.119736854934
Zimbabwe,812.203481400231,5008.4989279601,3722.68849709238,2810.64926268052,5889.7554686072,30.7826937647612,1415.31069231884,3570.14519719564,23.0430384456187,1395.33857036168,2319.61027141156,7.73965531914251,361.101406477467,377.306219948987,390.468749621859,399.493266808866,403.270132958662
